student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score
S001,8.0,8.8,72.1,45,30.2
S002,1.3,8.6,60.7,55,25.0
S003,4.0,8.2,73.7,86,35.8
S004,3.5,4.8,95.1,66,34.0
S005,9.1,6.4,89.8,71,40.3
S006,8.4,5.1,58.5,75,35.7
S007,10.8,6.0,54.2,88,37.9
S008,2.0,4.3,75.8,55,18.3
S009,5.6,5.9,81.6,84,34.7
S010,1.3,8.9,66.8,70,24.7
S011,3.4,5.3,90.9,81,29.3
S012,6.6,7.9,87.6,85,35.1
S013,1.3,6.3,83.6,71,31.2
S014,3.2,6.1,61.2,68,30.2
S015,8.1,8.8,60.0,90,41.1
S016,7.0,9.0,51.2,41,34.1
S017,3.4,6.8,62.2,45,28.9
S018,7.5,7.6,73.8,58,36.3
S019,9.9,4.8,92.5,54,35.6
S020,1.1,5.5,53.6,65,17.1
S021,9.9,8.8,70.7,84,46.0
S022,8.7,6.9,81.5,55,36.1
S023,4.7,6.7,59.7,59,29.6
S024,2.7,7.7,84.8,82,35.9
S025,11.5,4.3,74.7,77,39.2
S026,4.7,6.9,62.2,63,30.0
S027,2.0,6.5,82.8,70,29.0
S028,2.1,8.3,50.3,75,26.5
S029,10.3,4.8,87.5,73,37.2
S030,7.6,8.8,88.5,62,36.2
S031,9.9,4.4,55.3,67,34.5
S032,9.0,4.9,71.3,87,41.6
S033,6.9,7.0,58.8,75,38.1
S034,11.7,7.4,97.9,61,42.7
S035,5.2,5.2,75.9,62,32.0
S036,7.1,4.6,52.5,84,32.0
S037,10.1,8.5,62.5,69,44.7
S038,7.8,5.2,92.4,57,38.3
S039,10.5,7.0,72.8,59,39.8
S040,7.4,7.1,90.1,56,35.0
S041,8.8,6.1,83.4,54,34.2
S042,1.5,6.9,99.4,47,23.1
S043,3.5,6.6,79.8,86,37.2
S044,4.2,8.7,97.5,52,30.3
S045,1.9,5.0,94.6,60,26.1
S046,3.6,7.6,80.6,47,31.8
S047,2.1,5.2,86.0,87,31.6
S048,4.1,6.0,75.2,74,31.1
S049,8.0,7.4,91.5,88,41.2
S050,5.0,5.5,77.4,84,30.6
